occupation_title,task,rating
Chief Executives,Develop and communicate the organization’s vision and mission.,2
Chief Executives,Set strategic goals and objectives and ensure alignment with the overall business strategy.,3
Chief Executives,Oversee the daily operations of the organization and ensure efficiency.,2
Chief Executives,Manage senior executives and coordinate their efforts to achieve business objectives.,2
Chief Executives,Monitor industry trends and market conditions to identify opportunities for growth and innovation.,3
Chief Executives,"Communicate with stakeholders, including the board of directors, employees, and customers, to ensure transparency and engagement.",2
Chief Executives,"Conduct meetings with department heads to review performance, align priorities, and provide guidance.",2
Chief Executives,"Prepare and present reports to the board of directors regarding company performance, challenges, and strategic initiatives.",2
Chief Executives,Evaluate the performance of executive team members and provide feedback.,2
Chief Executives,Implement policies and procedures that promote the company culture and vision of the organization.,2
Chief Executives,Ensure compliance with legal and regulatory requirements.,3
Chief Executives,Direct the organization's financial planning and budget management processes.,2
Chief Executives,"Foster relationships with key external partners, including business partners, vendors, and government entities.",2
Chief Executives,Lead change management initiatives and organizational growth strategies.,3
Chief Executives,"Assist in fundraising and investor relations, including meetings with investors and financial institutions.",2
General and Operations Managers,Develop and implement operational strategies and processes,3
General and Operations Managers,Monitor and analyze performance metrics to identify areas for improvement,4
General and Operations Managers,Manage budgets and financial reports to ensure profitability,3
General and Operations Managers,"Establish and maintain relationships with partners, suppliers, and stakeholders",2
General and Operations Managers,"Oversee hiring, training, and performance evaluation of staff",2
General and Operations Managers,Facilitate communication between departments to enhance collaboration,3
General and Operations Managers,Ensure compliance with regulations and industry standards,3
General and Operations Managers,Develop and implement policies and procedures to improve operational efficiency,3
General and Operations Managers,Plan and direct operational activities within the organization,3
General and Operations Managers,Assess and manage risks related to operations and strategy,3
General and Operations Managers,Conduct market research to identify new business opportunities,4
General and Operations Managers,Lead projects to improve organizational productivity and reduce costs,3
General and Operations Managers,Develop actionable plans to improve customer satisfaction,3
General and Operations Managers,Prepare reports and presentations for upper management or board meetings,3
General and Operations Managers,Negotiate contracts and agreements with vendors and service providers,3
Legislators,"Draft, review, and propose new legislation",2
Legislators,Participate in legislative sessions and debates,2
Legislators,Conduct public hearings to gather input on proposed laws,1
Legislators,Constituent outreach to understand community needs and concerns,2
Legislators,Collaborate with other legislators and stakeholders on policy issues,2
Legislators,Research and analyze legislative proposals and their impacts,3
Legislators,Vote on bills and resolutions,1
Legislators,Serve on committees to examine specific issues and legislation,2
Legislators,Meet with lobbyists and interest groups to discuss policy positions,1
Legislators,Prepare speeches and presentations for public speaking engagements,2
Legislators,Communicate with the media regarding legislative actions and positions,2
Legislators,Maintain and update records of legislative activities and communications,3
Legislators,Engage in negotiations to reach compromises on legislation,2
Legislators,Attend community events and provide updates on legislative work,1
Legislators,Advocate for constituent services and support on individual cases,1
Advertising and Promotions Managers,Develop advertising strategies and campaigns,4
Advertising and Promotions Managers,Manage marketing and promotional activities,3
Advertising and Promotions Managers,Analyze market trends and consumer behavior,4
Advertising and Promotions Managers,Coordinate with creative teams to design promotional materials,3
Advertising and Promotions Managers,Oversee the execution of advertising campaigns across various channels,4
Advertising and Promotions Managers,Monitor and report on the performance of campaigns,3
